title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Soler TI 11-29,2025-10-24 13:12:57,00:15:57,33,154,154,33,Lost,Twitch Integration
Noita Creating The Void Tannerkivi Daily Run,2025-10-25 08:08:11,05:40:48,458,20,458,20,Won,Daily Run
Noita Soler TI 13-37,2025-10-26 07:29:28,00:20:11,70,256,70,256,Won,Twitch Integration
Noita Random Starting Location Run,2025-10-26 08:32:42,00:13:52,140,115,115,140,Lost,Random Start
Noita Random Starting Location,2025-10-26 08:50:50,00:30:56,145,139,139,145,Lost,Random Start
Noita Random Starting Location Run AGAIN,2025-10-26 09:33:05,01:35:51,146,107,146,107,Won,Random Start
Noita TI 25-45 With Fungal Pain,2025-10-26 12:09:04,00:23:16,56,223,223,56,Lost,Fungal Pain
Silksong Rasher Delivery Quest,2025-10-29 08:43:08,00:13:32,36,53,53,36,Lost,Hollow Knight: Silksong
Noita Nightmare All Boss All Orbs Run,2025-10-30 07:18:19,00:31:07,229,80,80,229,Lost,Nightmare
Noita Nightmare All Boss All Orbs Run AGAIN,2025-10-30 07:55:44,01:48:01,152,73,73,152,Lost,Nightmare
Noita Random Starting Location Run,2025-10-30 10:08:47,00:17:42,111,133,133,111,Lost,Random Start
Noita Random Starting Location Run,2025-10-30 10:47:16,00:17:07,114,143,143,114,Lost,Random Start
Noita Soler TI 13-37,2025-10-30 12:17:33,00:24:25,90,181,181,90,Lost,Twitch Integration
Noita Soler TI 10-31,2025-10-31 08:03:40,00:21:03,102,224,224,102,Lost,Twitch Integration
Noita Unofficial Halloween Daily Run,2025-10-31 08:50:02,00:42:16,326,49,49,326,Lost,Daily Run
Noita Unofficial Halloween Run Again,2025-10-31 09:36:57,06:07:51,336,63,336,63,Won,Other
Noita Heart Mimic Resurrection Daily Run,2025-11-01 07:57:33,04:36:09,471,44,471,44,Won,Daily Run
Noita Soler TI 13-35,2025-11-02 07:19:53,00:21:17,66,245,66,245,Won,Twitch Integration
Noita Soler TI 10-20 3 Attempts,2025-11-02 08:25:22,00:26:59,89,246,246,89,Lost,Twitch Integration
Noita Everyone Loves Larpa Modded Run 10 Attempts,2025-11-02 09:29:22,01:01:30,185,203,185,203,Won,Everyone Loves Larpa
Noita Roulette Daily Run,2025-11-02 10:37:39,02:53:26,423,54,423,54,Won,Daily Run
Noita Soler TI 14-27,2025-11-02 13:35:41,00:31:50,74,198,198,74,Lost,Twitch Integration
Noita Soler TI 14-27 Again,2025-11-02 14:10:25,00:20:43,91,219,219,91,Lost,Twitch Integration
Silksong GMS Twisted Child 5 Attempts,2025-11-05 09:53:13,00:21:57,49,76,76,49,Lost,Hollow Knight: Silksong
Noita Deathpath Daily Run,2025-11-06 09:09:13,04:25:42,397,50,397,50,Won,Daily Run
Noita TI + Fungal Pain 20-40,2025-11-06 14:17:03,00:17:41,56,195,195,56,Lost,Fungal Pain
Noita Nightmare Run,2025-11-07 08:19:40,02:24:08,177,86,177,86,Won,Nightmare
Noita Daily Run Roulette,2025-11-07 11:04:59,02:48:48,346,37,346,37,Won,Daily Run
Noita Golden Wisp Daily Run,2025-11-08 08:50:13,05:56:08,575,53,575,53,Won,Daily Run
Noita Soler TI 13-37,2025-11-09 09:20:55,00:26:53,76,293,293,76,Lost,Twitch Integration
Noita True Infinity Health Daily Run,2025-11-09 10:32:12,07:25:54,507,38,507,38,Won,Daily Run
Silksong The Unraveled Boss 2 Attempts,2025-11-12 12:11:27,00:12:57,35,45,45,35,Lost,Hollow Knight: Silksong
Noita Soler TI 13-37 2 Attempts,2025-11-14 08:28:24,00:29:56,48,169,48,169,Won,Twitch Integration
Noita 11 Orb Daily Run,2025-11-14 09:30:46,03:41:48,466,45,466,45,Won,Daily Run
Noita Power Words 1 Hour,2025-11-15 08:32:48,01:47:34,76,221,221,76,Lost,Power Words
Noita Pickled Kolmi Daily Run,2025-11-15 10:45:38,03:12:48,489,25,489,25,Won,Daily Run
Noita Nightmare Run,2025-11-16 08:44:12,03:32:52,263,75,263,75,Won,Nightmare
Noita Soler TI 13-37,2025-11-16 13:39:16,00:27:05,67,216,216,67,Lost,Twitch Integration
Silksong GMS Boss Fight 1 Attempt,2025-11-19 08:47:51,00:12:24,27,70,27,70,Won,Hollow Knight: Silksong
Silksong Tormented Trobbio 3 Attempts,2025-11-19 12:01:46,00:09:57,59,31,31,59,Lost,Hollow Knight: Silksong
Noita Oiled Up Heretic Daily Run,2025-11-20 09:14:32,05:35:45,477,39,477,39,Won,Daily Run
Noita Soler TI 18-27,2025-11-20 15:03:18,00:21:54,53,179,179,53,Lost,Twitch Integration
Noita Finding The Eyes Run,2025-11-21 09:09:58,05:20:06,492,34,492,34,Won,Other
Noita Soler TI 10-30,2025-11-22 08:44:33,00:18:56,46,238,238,46,Lost,Twitch Integration
Noita Nightmare Run,2025-11-22 10:06:54,04:04:51,225,45,225,45,Won,Nightmare
Noita Power Words 1 hour,2025-11-23 09:42:29,01:46:50,80,255,255,80,Lost,Power Words
Noita Fungal Pain + Swapped Materials NG+ Daily Run,2025-11-23 12:11:28,03:10:35,293,45,293,45,Won,Daily Run
Silksong Flea Dodge Greater Than 65,2025-11-26 09:20:46,00:07:38,22,68,68,22,Lost,Hollow Knight: Silksong
Silksong Clover Dancers 3 Attempts,2025-11-26 12:05:54,00:13:04,36,28,36,28,Won,Hollow Knight: Silksong
Noita 34 Orb Daily Run,2025-11-27 09:30:20,07:28:57,467,24,467,24,Won,Daily Run
Noita Killing Kolmi By Overeating Daily Run,2025-11-28 09:31:57,03:33:22,450,23,450,23,Won,Daily Run
Noita Soler TI 11-28,2025-11-28 13:06:53,00:22:51,51,240,240,51,Lost,Twitch Integration
Noita 11 Orb Daily Run,2025-11-29 11:07:27,03:41:09,382,21,382,21,Won,Daily Run
Noita Soler TI 10-20 3 Attempts,2025-11-30 09:28:51,00:42:14,53,235,235,53,Lost,Twitch Integration
Noita Roulette Glittering Build Run,2025-11-30 11:35:50,04:00:32,595,29,595,29,Won,Noita Roulette
Silksong Karmelita 5 Attempts,2025-12-03 10:37:03,00:25:50,39,29,29,39,Lost,Hollow Knight: Silksong
Silksong Lost Lace 45 Minutes,2025-12-03 13:35:37,01:03:49,58,28,58,28,Won,Hollow Knight: Silksong
Noita Soler TI 13-37,2025-12-04 10:14:36,00:20:58,68,228,68,228,Won,Twitch Integration
Noita Mole Build Daily Run,2025-12-04 10:58:39,03:57:51,435,24,24,435,Lost,Daily Run
Noita Soler TI 13-30,2025-12-04 15:18:31,00:08:45,95,176,176,95,Lost,Twitch Integration
Noita Soler TI 15-30,2025-12-05 09:47:16,00:18:15,101,273,273,101,Lost,Twitch Integration
Noita Killing Kolmi With Flum Daily Run,2025-12-05 10:41:09,04:08:34,464,47,464,47,Won,Daily Run
Noita All Gods Messages Event Run Attempt 1,2025-12-06 06:06:55,14:45:33,526,37,526,37,Won,Other
Enter the Gungeon Rat Boss 2 Phases,2025-12-10 09:24:24,00:13:20,71,64,64,71,Lost,Enter the Gungeon
Enter The Gungeon Crest Quest,2025-12-10 10:21:49,00:06:34,37,74,37,74,Won,Enter the Gungeon
Enter the Gungeon 2 Rat Boss Phases,2025-12-10 11:45:57,00:10:21,126,23,126,23,Won,Enter the Gungeon
Noita Roulette Daily Run,2025-12-11 10:21:26,04:59:36,506,38,506,38,Won,Daily Run
Noita Soler TI 13-37,2025-12-12 07:36:33,00:27:02,65,203,203,65,Lost,Twitch Integration
Noita Soler TI 18-27,2025-12-12 09:24:18,00:17:30,65,216,216,65,Lost,Twitch Integration
Noita Nightmare Mode,2025-12-12 09:47:35,02:28:29,253,39,253,39,Won,Nightmare
Noita Power Hour 7 wins Or More,2025-12-12 12:22:22,01:12:36,143,86,143,86,Won,Power Hour
Noita Rare Shift Daily Run,2025-12-13 07:12:25,06:11:04,429,33,429,33,Won,Daily Run
Noita Soler TI 15-22 2 Attempts,2025-12-14 10:33:14,00:13:18,54,233,233,54,Lost,Twitch Integration
Noita Random Start Location Run,2025-12-14 11:12:18,00:21:29,139,113,113,139,Lost,Random Start
Noita Random Starting Location Run 2 Attempts,2025-12-14 12:00:35,00:14:35,143,97,97,143,Lost,Random Start
Noita 11 Orb No Kolmi Kill Daily Run,2025-12-14 13:30:36,02:43:53,386,32,386,32,Won,Daily Run
Enter The Gungeon Rat Boss 2 Phases,2025-12-18 08:45:56,00:13:16,64,53,64,53,Won,Enter the Gungeon
Enter The Gungeon KILL Rat Boss,2025-12-18 11:34:03,00:06:59,50,59,59,50,Lost,Enter the Gungeon
Enter The Gungeon Kill Rat Boss,2025-12-18 13:36:08,00:05:14,52,84,84,52,Lost,Enter the Gungeon
Noita Multiple Wins In 1 Run,2025-12-19 09:08:27,05:34:02,528,32,528,32,Won,Other
Noita Soler TI 18-27,2025-12-21 10:42:48,00:45:04,74,289,289,74,Lost,Twitch Integration
Noita Random Biome Start Journey Run,2025-12-21 13:03:23,00:09:19,146,80,80,146,Lost,Random Start
Noita Random Biome Start Journey Run #2,2025-12-21 13:17:10,00:03:57,102,89,89,102,Lost,Random Start
Noita Random Biome Start Journey Run #3 Two Attempts,2025-12-21 13:22:27,00:08:08,108,63,63,108,Lost,Random Start
Noita Random Biome Start Journey Run #5 2 Attempts,2025-12-21 13:41:19,01:01:50,116,85,116,85,Won,Random Start
Noita Random Biome Start Journey Run #6 Two Attempts,2025-12-21 14:46:59,00:28:58,140,104,104,140,Lost,Random Start
Noita Soler TI 18-27,2025-12-21 15:38:31,00:09:07,81,187,187,81,Lost,Twitch Integration
