title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Visit The Unfinished Quest Alter,2025-06-12 07:02:50,06:04:26,380,29,380,29,Won,Other
Noita Soler TI 16-29,2025-06-13 07:41:12,00:22:04,76,220,220,76,Lost,Twitch Integration
Noita Soler TI 16-29,2025-06-13 08:03:54,00:20:39,62,216,216,62,Lost,Twitch Integration
Noita Omega Sawblade Wisp Daily Run,2025-06-13 08:46:47,05:02:07,350,31,350,31,Won,Daily Run
Noita Soler TI 16-29 5 options,2025-06-14 08:48:30,00:12:21,77,169,169,77,Lost,Twitch Integration
Noita Everyone Loves Larpa 1 win in 1 hour,2025-06-14 09:53:09,01:11:02,129,86,86,129,Lost,Everyone Loves Larpa
Noita Larpa Mod Goal Vault,2025-06-14 12:06:46,00:52:04,95,111,95,111,Won,Everyone Loves Larpa
Noita Soler TI 16-32 5 Options,2025-06-15 07:05:20,00:16:59,82,226,226,82,Lost,Twitch Integration
Noita Minigun All Boss Daily Run,2025-06-15 08:06:42,03:39:27,525,36,36,525,Lost,Daily Run
Noita Power Hour 8 Wins,2025-06-15 12:01:34,01:12:59,180,224,224,180,Lost,Power Hour
Noita Soler TI 13-29.,2025-06-20 06:56:21,00:28:14,95,217,217,95,Lost,Twitch Integration
Noita Soler TI 13-29,2025-06-20 07:43:51,00:34:38,113,247,113,247,Won,Twitch Integration
Notia Power Words 11 Attempts,2025-06-20 10:12:50,00:54:37,75,240,240,75,Lost,Power Words
Noita Soler TI 13-29,2025-06-20 12:20:30,00:23:09,82,186,186,82,Lost,Twitch Integration
Noita Rainbow Sun Run,2025-06-21 06:20:59,07:08:02,447,49,447,49,Won,Other
Noita All Perk Daily Run,2025-06-22 07:09:37,06:35:57,459,58,459,58,Won,Daily Run
Noita Soler TI 13-32,2025-06-28 06:56:22,00:14:42,84,253,84,253,Won,Twitch Integration
Noita Soler TI 16-24,2025-06-28 08:04:21,00:15:47,83,194,194,83,Lost,Twitch Integration
Noita Nightmare Max Fungal Shifts Run,2025-06-28 08:35:23,04:52:19,195,117,195,117,Won,Nightmare
Noita Random Start Run,2025-06-29 07:34:34,00:16:50,164,134,134,164,Lost,Random Start
Noita Random Start Run,2025-06-29 07:55:06,00:10:01,147,127,127,147,Lost,Random Start
Noita Gourd Moon Daily Run No Triggers Or Timers Allowed,2025-06-29 08:39:05,05:19:08,448,63,448,63,Won,Daily Run
Enter The Gungeon Final Boss,2025-07-02 11:38:02,00:15:34,150,45,150,45,Won,Enter the Gungeon
Noita Apotheosis Downunder Run (World is flipped),2025-07-03 07:29:12,04:09:23,266,95,266,95,Won,Other
Noita Soler TI 13-37,2025-07-03 12:25:00,00:23:53,93,183,183,93,Lost,Twitch Integration
Noita Soler TI 13-37,2025-07-03 13:08:27,00:14:32,91,157,91,157,Won,Twitch Integration
Noita Soler TI 14-27,2025-07-04 08:08:59,00:18:08,61,205,205,61,Lost,Twitch Integration
Noita Wisp Firework Daily Run,2025-07-04 08:54:54,05:10:05,384,28,384,28,Won,Daily Run
Noita Greed Dice Greater Trasure Chest Run,2025-07-05 07:13:42,07:11:20,447,53,447,53,Won,Other
Noita Soler TI 13-33,2025-07-06 07:00:06,00:08:21,80,230,230,80,Lost,Twitch Integration
Noita Soler TI 13-33,2025-07-06 08:08:30,00:14:33,65,208,65,208,Won,Twitch Integration
Noita Requirements Spells Build Daily Run,2025-07-06 08:42:04,03:29:56,464,46,464,46,Won,Daily Run
Gungeon No Hit First Boss,2025-07-09 12:18:42,00:06:35,68,80,80,68,Lost,Enter the Gungeon
Noita Soler TI 13-37,2025-07-10 07:56:12,00:22:15,93,237,93,237,Won,Twitch Integration
Noita Educational Fungal Shifts Daily Run,2025-07-10 08:56:27,02:53:05,376,31,376,31,Won,Daily Run
Noita 11 Orb No Flask Daily Run,2025-07-11 07:05:01,04:28:19,407,46,407,46,Won,Daily Run
Noita Soler TI 12-31,2025-07-11 12:03:08,00:21:51,63,202,202,63,Lost,Twitch Integration
