title,date,duration,yes_votes,no_votes,winners,losers,outcome
Gungeon Lich Boss Kill,2025-08-07 08:03:56,0 days 00:10:56,80,82,80,82,BetOutcome.WIN
Gungeon Crest Delivery,2025-08-07 08:52:45,0 days 00:06:08,36,79,79,36,BetOutcome.LOSS
Gungeon Gunslinger Unlock,2025-08-07 10:24:37,0 days 00:08:51,185,17,185,17,BetOutcome.WIN
Noita Soler TI 18-27,2025-08-08 07:26:34,0 days 00:20:18,80,233,80,233,BetOutcome.WIN
Noita IndoorCat Cursed Seed Run,2025-08-08 08:36:17,0 days 01:36:27,313,107,107,313,BetOutcome.LOSS
Noita Soler TI 18-27,2025-08-08 12:02:05,0 days 00:16:24,72,196,196,72,BetOutcome.LOSS
Noita Cursed Seed 11 Orb Attempt 2,2025-08-09 06:37:17,0 days 01:22:30,250,125,125,250,BetOutcome.LOSS
Noita Evil Seed Run,2025-08-09 08:16:13,0 days 04:37:51,178,194,178,194,BetOutcome.WIN
Noita Soler TI 13-30,2025-08-10 07:12:12,0 days 00:19:13,107,279,279,107,BetOutcome.LOSS
Noita Soler TI 13-30,2025-08-10 07:47:58,0 days 00:18:31,84,264,264,84,BetOutcome.LOSS
Noita Daily Practice Run,2025-08-10 08:15:10,0 days 00:51:44,240,52,240,52,BetOutcome.WIN
Noita Power Hour 7 Wins,2025-08-10 09:24:44,0 days 01:19:52,135,197,135,197,BetOutcome.WIN
Noita Soler TI 20-30,2025-08-10 11:53:03,0 days 00:17:28,90,227,227,90,BetOutcome.LOSS
Gungeon Robot Past Kill,2025-08-13 11:44:18,0 days 00:09:04,84,54,84,54,BetOutcome.WIN
Project Fleet High Score 30k+,2025-08-14 10:04:47,0 days 00:24:37,34,56,56,34,BetOutcome.LOSS
Noita All Boss Daily Run,2025-08-15 05:17:40,0 days 04:26:35,393,25,393,25,BetOutcome.WIN
Noita Daily Practice Run,2025-08-15 09:58:40,0 days 00:17:19,124,109,109,124,BetOutcome.LOSS
Noita Soler TI 13-26,2025-08-15 11:12:52,0 days 00:14:56,70,212,212,70,BetOutcome.LOSS
Noita Giga Nuke Unlock Daily Run,2025-08-16 06:09:11,0 days 06:07:38,380,24,380,24,BetOutcome.WIN
Noita Power Words 1 Hour,2025-08-17 06:12:16,0 days 01:11:52,53,228,228,53,BetOutcome.LOSS
Noita Daily Run Building A Pollen Engine,2025-08-17 08:25:45,0 days 06:39:54,513,32,513,32,BetOutcome.WIN
Enter The Gungeon No Hit First Boss,2025-08-20 11:16:38,0 days 00:03:52,50,57,57,50,BetOutcome.LOSS
Noita Deathium Fungal Shift Daily Run,2025-08-22 06:42:16,0 days 05:38:45,264,78,264,78,BetOutcome.WIN
Noita Random Spawn Start Basic Win,2025-08-23 05:34:19,0 days 00:17:56,153,90,90,153,BetOutcome.LOSS
Noita Random Spawn Basic Win,2025-08-23 06:09:55,0 days 00:15:01,121,83,83,121,BetOutcome.LOSS
Noita Fungal Pain All Boss Daily Run,2025-08-23 06:35:15,0 days 03:59:31,191,122,122,191,BetOutcome.LOSS
Noita Soler TI 13-37,2025-08-23 10:51:47,0 days 00:18:31,76,174,174,76,BetOutcome.LOSS
Noita Soler TI 18-27,2025-08-24 05:19:21,0 days 00:09:55,75,204,204,75,BetOutcome.LOSS
Noita Soler TI 18-27,2025-08-24 05:44:22,0 days 00:18:07,89,205,205,89,BetOutcome.LOSS
Noita Urine Trouble Daily Run,2025-08-24 06:33:05,0 days 04:56:06,517,40,517,40,BetOutcome.WIN
Noita Soler TI 13-37,2025-08-24 11:32:07,0 days 00:27:13,115,186,186,115,BetOutcome.LOSS
Enter The Gungeon Pilot Alt Past Kill,2025-08-27 07:22:11,0 days 00:08:49,142,12,142,12,BetOutcome.WIN
Enter The Gungeon Beat Phase 2 Rat,2025-08-27 11:00:01,0 days 00:07:53,123,15,123,15,BetOutcome.WIN
Noita Daily Practice No Wand Start,2025-08-28 06:20:18,0 days 01:17:59,229,26,229,26,BetOutcome.WIN
Noita Roulette Daily Run,2025-08-28 08:10:31,0 days 04:05:59,363,29,363,29,BetOutcome.WIN
Noita Soler TI 16-28,2025-08-28 12:37:28,0 days 00:13:18,59,213,213,59,BetOutcome.LOSS
Noita Soler TI 16-28,2025-08-28 12:54:13,0 days 00:12:19,66,205,205,66,BetOutcome.LOSS
Noita Hunting For Green Large Golden Idol,2025-08-29 09:14:34,0 days 02:02:14,287,27,287,27,BetOutcome.WIN
Noita Soler TI 18-25,2025-08-29 11:40:29,0 days 00:14:40,79,186,186,79,BetOutcome.LOSS
Noita Soler TI 13-37,2025-08-30 06:56:35,0 days 00:16:08,75,224,224,75,BetOutcome.LOSS
Noita Fresh File All Boss Run,2025-08-30 07:35:18,0 days 05:07:27,505,42,505,42,BetOutcome.WIN
Noita Weakening Mage Trick Daily Run,2025-08-31 06:04:35,0 days 05:29:31,461,36,461,36,BetOutcome.WIN
Noita Soler TI 13-28,2025-08-31 11:42:32,0 days 00:18:56,79,203,203,79,BetOutcome.LOSS
Gungeon No Hit Chamber 3 Boss,2025-09-04 07:17:30,0 days 00:10:44,34,105,105,34,BetOutcome.LOSS
Gungeon No Hit First Boss,2025-09-04 09:09:31,0 days 00:12:18,47,41,47,41,BetOutcome.WIN
Gungeon Gun Game 3 out of 4,2025-09-04 10:00:10,0 days 00:10:16,34,43,43,34,BetOutcome.LOSS
Noita Soler TI 13-37,2025-09-05 07:34:16,0 days 00:17:12,69,228,69,228,BetOutcome.WIN
Noita Soler TI 13-30,2025-09-05 08:20:05,0 days 00:19:14,58,203,203,58,BetOutcome.LOSS
Noita Chat Chooses Spells Daily Run 11 Orbs,2025-09-05 09:20:13,0 days 04:59:10,308,34,308,34,BetOutcome.WIN
Noita Soler TI 12-27,2025-09-06 07:14:09,0 days 00:13:00,62,220,220,62,BetOutcome.LOSS
Noita 10 Dice Daily Run NG+++,2025-09-06 07:48:51,0 days 04:59:04,452,40,40,452,BetOutcome.LOSS
Noita Soler TI 13-37,2025-09-07 07:31:46,0 days 00:11:59,85,189,189,85,BetOutcome.LOSS
Noita 10 Dice Run NG+++,2025-09-07 08:14:11,0 days 05:08:45,381,75,381,75,BetOutcome.WIN
Noita Soler TI 12-27,2025-09-07 13:26:05,0 days 00:19:51,72,248,248,72,BetOutcome.LOSS
Gungeon Crest Shield Quest,2025-09-10 07:00:41,0 days 00:05:09,56,59,59,56,BetOutcome.LOSS
Gungeon Rat Boss Kill,2025-09-10 07:42:36,0 days 00:14:21,73,86,86,73,BetOutcome.LOSS
Gungeon Beat Phase 2 Rat Boss,2025-09-10 09:21:34,0 days 00:22:50,108,46,46,108,BetOutcome.LOSS
Noita Soler TI 13-37,2025-09-11 06:39:08,0 days 00:19:00,65,209,209,65,BetOutcome.LOSS
Noita No Hit No Gold Run 3 + Attempts,2025-09-11 07:23:53,0 days 00:54:24,87,172,172,87,BetOutcome.LOSS
Noita Starting In New Game + Run,2025-09-11 08:44:03,0 days 01:56:20,92,60,92,60,BetOutcome.WIN
Power Words 1 hour,2025-09-11 11:02:14,0 days 01:17:07,79,197,197,79,BetOutcome.LOSS
Noita Explosive Wisp Daily Run,2025-09-12 07:01:59,0 days 06:19:10,396,30,396,30,BetOutcome.WIN
Noita Power Words 1 hour,2025-09-13 07:20:30,0 days 01:14:25,61,246,246,61,BetOutcome.LOSS
Noita Random Start Location Run,2025-09-13 09:11:31,0 days 00:14:41,140,89,89,140,BetOutcome.LOSS
Noita Random Start Location Again,2025-09-13 09:28:44,0 days 00:54:01,108,116,116,108,BetOutcome.LOSS
Noita Fungal Pain Daily Run,2025-09-13 10:54:34,0 days 01:40:49,270,48,270,48,BetOutcome.WIN
Noita Supernova Daily Run,2025-09-14 06:10:57,0 days 06:27:03,463,35,463,35,BetOutcome.WIN
Gungeon Punch Out Rat Boss,2025-09-18 08:12:07,0 days 00:11:09,90,26,90,26,BetOutcome.WIN
Gungeon Beat Punch Out Rat,2025-09-18 08:27:05,0 days 00:05:49,41,61,61,41,BetOutcome.LOSS
Gungeon Bullet Past Kill,2025-09-18 09:19:20,0 days 00:17:43,64,42,64,42,BetOutcome.WIN
Gungeon Rat Boss Full Fight,2025-09-18 12:09:48,0 days 00:17:18,44,114,114,44,BetOutcome.LOSS
Noita Pillar Roulette Daily Run,2025-09-19 06:56:16,0 days 06:24:11,290,38,290,38,BetOutcome.WIN
Noita Nightmare + Fungal Pain Run,2025-09-20 07:11:18,0 days 02:53:09,119,165,119,165,BetOutcome.WIN
Noita Power Hour 7 Wins,2025-09-20 10:21:26,0 days 01:11:26,134,111,134,111,BetOutcome.WIN
Noita Soler TI 13-28,2025-09-20 12:21:11,0 days 00:35:16,66,225,225,66,BetOutcome.LOSS
Noita Soler TI 15-30,2025-09-21 06:55:16,0 days 00:27:43,67,245,245,67,BetOutcome.LOSS
Noita Roulette Daily Run + 2 Ask The Gods,2025-09-21 07:53:19,0 days 05:52:40,476,35,476,35,BetOutcome.WIN
Silksong Bell Beast 1 Attempt,2025-09-24 07:30:15,0 days 00:06:42,61,91,91,61,BetOutcome.LOSS
Silksong Savage Beastfly 5 Attempts,2025-09-24 11:35:30,0 days 00:19:01,51,81,81,51,BetOutcome.LOSS
Noita Soler TI 13-37,2025-09-25 06:09:42,0 days 00:26:15,49,219,49,219,BetOutcome.WIN
Noita Gold Is DEATH 5 Attempts + coinflip,2025-09-25 07:14:33,0 days 00:28:06,83,173,173,83,BetOutcome.LOSS
Noita Power Words 1 hour,2025-09-25 08:35:01,0 days 01:31:25,49,195,49,195,BetOutcome.WIN
Noita Soler TI 12-20,2025-09-25 11:23:28,0 days 00:15:18,60,196,196,60,BetOutcome.LOSS
Noita Inventory Filled Daily Run,2025-09-26 08:10:44,0 days 04:21:04,409,38,409,38,BetOutcome.WIN
Noita Soler TI 14-31,2025-09-26 13:11:13,0 days 00:26:39,54,191,191,54,BetOutcome.LOSS
Noita Soler TI 12-27,2025-09-27 09:26:47,0 days 00:22:45,92,252,252,92,BetOutcome.LOSS
Noita Soler TI 13-37,2025-09-28 07:10:18,0 days 00:25:05,51,229,229,51,BetOutcome.LOSS
Noita Material And Creature Collection Daily Run,2025-09-28 08:25:27,0 days 08:53:59,490,42,490,42,BetOutcome.WIN
Silksong Sister Splinter 2 Attempts,2025-10-02 07:48:38,0 days 00:07:37,41,65,41,65,BetOutcome.WIN
Noita Soler TI 13-37,2025-10-03 07:38:13,0 days 00:27:40,66,222,222,66,BetOutcome.LOSS
Noita Creating A Perpetual Gold Machine Daily Run,2025-10-03 08:18:54,0 days 05:26:31,415,37,415,37,BetOutcome.WIN
Noita Used Wand Salesman Daily Run,2025-10-04 07:18:44,0 days 05:54:13,531,32,531,32,BetOutcome.WIN
Noita Soler TI 15-30,2025-10-04 13:32:43,0 days 00:10:43,50,189,189,50,BetOutcome.LOSS
Noita Soler TI 10-30,2025-10-05 08:25:58,0 days 00:14:16,62,231,62,231,BetOutcome.WIN
Noita Pillar Roulette Daily Run,2025-10-05 09:11:20,0 days 05:22:56,398,43,398,43,BetOutcome.WIN
Silksong Phantom Boss 3 Attempts,2025-10-08 07:23:12,0 days 00:14:05,65,77,77,65,BetOutcome.LOSS
Silksong Judge Boss 10 Attempts,2025-10-08 09:59:28,0 days 00:30:32,58,39,39,58,BetOutcome.LOSS
Noita Microplastics Daily Run,2025-10-09 06:19:16,0 days 06:38:35,450,32,450,32,BetOutcome.WIN
Noita Soler TI 18-26,2025-10-12 06:22:07,0 days 00:12:49,39,261,261,39,BetOutcome.LOSS
Noita Drown The World + Fish Quest Daily Run,2025-10-12 07:31:39,0 days 03:36:02,483,24,483,24,BetOutcome.WIN
Noita Soler TI 18-26,2025-10-12 11:33:10,0 days 00:13:57,54,213,54,213,BetOutcome.WIN
Noita Soler TI 18-26,2025-10-12 12:05:04,0 days 00:19:39,55,226,226,55,BetOutcome.LOSS
Silksong Savage Beastfly 2 Boss 10 Attempts,2025-10-15 09:02:50,0 days 00:14:57,54,41,54,41,BetOutcome.WIN
Noita Soler TI 18-26,2025-10-16 07:34:50,0 days 00:17:42,55,206,206,55,BetOutcome.LOSS
Noita Levitation Killer Daily Run,2025-10-16 08:38:25,0 days 04:04:17,332,18,332,18,BetOutcome.WIN
Noita Soler TI 18-26,2025-10-16 12:56:45,0 days 00:21:43,46,185,46,185,BetOutcome.WIN
Noita No HM Dark Sun Daily Run,2025-10-17 07:04:23,0 days 06:33:11,342,32,342,32,BetOutcome.WIN
Noita Soler TI 18-26,2025-10-18 07:37:54,0 days 00:33:06,54,242,242,54,BetOutcome.LOSS
Noita Altar Rain With Fungal Pain Daily Run,2025-10-18 08:21:37,0 days 05:18:30,363,46,363,46,BetOutcome.WIN
Noita Ethical Tower Daily Run,2025-10-19 08:46:39,0 days 03:47:55,517,26,517,26,BetOutcome.WIN
Noita Soler TI 10-25,2025-10-19 12:55:26,0 days 00:16:31,65,231,231,65,BetOutcome.LOSS
Silksong Groal Boss 3 Attempts,2025-10-23 07:27:54,0 days 00:26:09,43,78,78,43,BetOutcome.LOSS
Silksong First Sinner 10 Attempts,2025-10-23 09:49:00,0 days 00:36:10,32,49,32,49,BetOutcome.WIN
Noita Soler TI 13-37,2025-10-24 07:37:20,0 days 00:30:50,65,192,192,65,BetOutcome.LOSS
Noita Lightning Build Daily Run,2025-10-24 09:17:00,0 days 03:07:48,415,22,415,22,BetOutcome.WIN
Noita Soler TI 11-29,2025-10-24 13:12:57,0 days 00:15:57,33,154,154,33,BetOutcome.LOSS
Noita Creating The Void Tannerkivi Daily Run,2025-10-25 08:08:11,0 days 05:40:48,458,20,458,20,BetOutcome.WIN
Noita Soler TI 13-37,2025-10-26 07:29:28,0 days 00:20:11,70,256,70,256,BetOutcome.WIN
Noita Random Starting Location Run,2025-10-26 08:32:42,0 days 00:13:52,140,115,115,140,BetOutcome.LOSS
Noita Random Starting Location,2025-10-26 08:50:50,0 days 00:30:56,145,139,139,145,BetOutcome.LOSS
Noita Random Starting Location Run AGAIN,2025-10-26 09:33:05,0 days 01:35:51,146,107,146,107,BetOutcome.WIN
Noita TI 25-45 With Fungal Pain,2025-10-26 12:09:04,0 days 00:23:16,56,223,223,56,BetOutcome.LOSS
Silksong Rasher Delivery Quest,2025-10-29 08:43:08,0 days 00:13:32,36,53,53,36,BetOutcome.LOSS
Noita Nightmare All Boss All Orbs Run,2025-10-30 07:18:19,0 days 00:31:07,229,80,80,229,BetOutcome.LOSS
Noita Nightmare All Boss All Orbs Run AGAIN,2025-10-30 07:55:44,0 days 01:48:01,152,73,73,152,BetOutcome.LOSS
Noita Random Starting Location Run,2025-10-30 10:08:47,0 days 00:17:42,111,133,133,111,BetOutcome.LOSS
Noita Random Starting Location Run,2025-10-30 10:47:16,0 days 00:17:07,114,143,143,114,BetOutcome.LOSS
Noita Soler TI 13-37,2025-10-30 12:17:33,0 days 00:24:25,90,181,181,90,BetOutcome.LOSS
Noita Soler TI 10-31,2025-10-31 08:03:40,0 days 00:21:03,102,224,224,102,BetOutcome.LOSS
Noita Unofficial Halloween Daily Run,2025-10-31 08:50:02,0 days 00:42:16,326,49,49,326,BetOutcome.LOSS
Noita Unofficial Halloween Run Again,2025-10-31 09:36:57,0 days 06:07:51,336,63,336,63,BetOutcome.WIN
Noita Heart Mimic Resurrection Daily Run,2025-11-01 07:57:33,0 days 04:36:09,471,44,471,44,BetOutcome.WIN
Noita Soler TI 13-35,2025-11-02 07:19:53,0 days 00:21:17,66,245,66,245,BetOutcome.WIN
Noita Soler TI 10-20 3 Attempts,2025-11-02 08:25:22,0 days 00:26:59,89,246,246,89,BetOutcome.LOSS
Noita Everyone Loves Larpa Modded Run 10 Attempts,2025-11-02 09:29:22,0 days 01:01:30,185,203,185,203,BetOutcome.WIN
Noita Roulette Daily Run,2025-11-02 10:37:39,0 days 02:53:26,423,54,423,54,BetOutcome.WIN
Noita Soler TI 14-27,2025-11-02 13:35:41,0 days 00:31:50,74,198,198,74,BetOutcome.LOSS
Noita Soler TI 14-27 Again,2025-11-02 14:10:25,0 days 00:20:43,91,219,219,91,BetOutcome.LOSS
Silksong GMS Twisted Child 5 Attempts,2025-11-05 09:53:13,0 days 00:21:57,49,76,76,49,BetOutcome.LOSS
Noita Deathpath Daily Run,2025-11-06 09:09:13,0 days 04:25:42,397,50,397,50,BetOutcome.WIN
Noita TI + Fungal Pain 20-40,2025-11-06 14:17:03,0 days 00:17:41,56,195,195,56,BetOutcome.LOSS
Noita Nightmare Run,2025-11-07 08:19:40,0 days 02:24:08,177,86,177,86,BetOutcome.WIN
Noita Daily Run Roulette,2025-11-07 11:04:59,0 days 02:48:48,346,37,346,37,BetOutcome.WIN
Noita Golden Wisp Daily Run,2025-11-08 08:50:13,0 days 05:56:08,575,53,575,53,BetOutcome.WIN
Noita Soler TI 13-37,2025-11-09 09:20:55,0 days 00:26:53,76,293,293,76,BetOutcome.LOSS
Noita True Infinity Health Daily Run,2025-11-09 10:32:12,0 days 07:25:54,507,38,507,38,BetOutcome.WIN
Silksong The Unraveled Boss 2 Attempts,2025-11-12 12:11:27,0 days 00:12:57,35,45,45,35,BetOutcome.LOSS
Noita Soler TI 13-37 2 Attempts,2025-11-14 08:28:24,0 days 00:29:56,48,169,48,169,BetOutcome.WIN
Noita 11 Orb Daily Run,2025-11-14 09:30:46,0 days 03:41:48,466,45,466,45,BetOutcome.WIN
Noita Power Words 1 Hour,2025-11-15 08:32:48,0 days 01:47:34,76,221,221,76,BetOutcome.LOSS
Noita Pickled Kolmi Daily Run,2025-11-15 10:45:38,0 days 03:12:48,489,25,489,25,BetOutcome.WIN
Noita Nightmare Run,2025-11-16 08:44:12,0 days 03:32:52,263,75,263,75,BetOutcome.WIN
Noita Soler TI 13-37,2025-11-16 13:39:16,0 days 00:27:05,67,216,216,67,BetOutcome.LOSS
Silksong GMS Boss Fight 1 Attempt,2025-11-19 08:47:51,0 days 00:12:24,27,70,27,70,BetOutcome.WIN
Silksong Tormented Trobbio 3 Attempts,2025-11-19 12:01:46,0 days 00:09:57,59,31,31,59,BetOutcome.LOSS
Noita Oiled Up Heretic Daily Run,2025-11-20 09:14:32,0 days 05:35:45,477,39,477,39,BetOutcome.WIN
Noita Soler TI 18-27,2025-11-20 15:03:18,0 days 00:21:54,53,179,179,53,BetOutcome.LOSS
Noita Finding The Eyes Run,2025-11-21 09:09:58,0 days 05:20:06,492,34,492,34,BetOutcome.WIN
Noita Soler TI 10-30,2025-11-22 08:44:33,0 days 00:18:56,46,238,238,46,BetOutcome.LOSS
Noita Nightmare Run,2025-11-22 10:06:54,0 days 04:04:51,225,45,225,45,BetOutcome.WIN
Noita Power Words 1 hour,2025-11-23 09:42:29,0 days 01:46:50,80,255,255,80,BetOutcome.LOSS
Noita Fungal Pain + Swapped Materials NG+ Daily Run,2025-11-23 12:11:28,0 days 03:10:35,293,45,293,45,BetOutcome.WIN
Silksong Flea Dodge Greater Than 65,2025-11-26 09:20:46,0 days 00:07:38,22,68,68,22,BetOutcome.LOSS
Silksong Clover Dancers 3 Attempts,2025-11-26 12:05:54,0 days 00:13:04,36,28,36,28,BetOutcome.WIN
Noita 34 Orb Daily Run,2025-11-27 09:30:20,0 days 07:28:57,467,24,467,24,BetOutcome.WIN
Noita Killing Kolmi By Overeating Daily Run,2025-11-28 09:31:57,0 days 03:33:22,450,23,450,23,BetOutcome.WIN
Noita Soler TI 11-28,2025-11-28 13:06:53,0 days 00:22:51,51,240,240,51,BetOutcome.LOSS
Noita 11 Orb Daily Run,2025-11-29 11:07:27,0 days 03:41:09,382,21,382,21,BetOutcome.WIN
Noita Soler TI 10-20 3 Attempts,2025-11-30 09:28:51,0 days 00:42:14,53,235,235,53,BetOutcome.LOSS
Noita Roulette Glittering Build Run,2025-11-30 11:35:50,0 days 04:00:32,595,29,595,29,BetOutcome.WIN
Silksong Karmelita 5 Attempts,2025-12-03 10:37:03,0 days 00:25:50,39,29,29,39,BetOutcome.LOSS
Silksong Lost Lace 45 Minutes,2025-12-03 13:35:37,0 days 01:03:49,58,28,58,28,BetOutcome.WIN
Noita Soler TI 13-37,2025-12-04 10:14:36,0 days 00:20:58,68,228,68,228,BetOutcome.WIN
Noita Mole Build Daily Run,2025-12-04 10:58:39,0 days 03:57:51,435,24,24,435,BetOutcome.LOSS
Noita Soler TI 13-30,2025-12-04 15:18:31,0 days 00:08:45,95,176,176,95,BetOutcome.LOSS
Noita Soler TI 15-30,2025-12-05 09:47:16,0 days 00:18:15,101,273,273,101,BetOutcome.LOSS
Noita Killing Kolmi With Flum Daily Run,2025-12-05 10:41:09,0 days 04:08:34,464,47,464,47,BetOutcome.WIN
Noita All Gods Messages Event Run Attempt 1,2025-12-06 06:06:55,0 days 14:45:33,526,37,526,37,BetOutcome.WIN
Enter the Gungeon Rat Boss 2 Phases,2025-12-10 09:24:24,0 days 00:13:20,71,64,64,71,BetOutcome.LOSS
Enter The Gungeon Crest Quest,2025-12-10 10:21:49,0 days 00:06:34,37,74,37,74,BetOutcome.WIN
Enter the Gungeon 2 Rat Boss Phases,2025-12-10 11:45:57,0 days 00:10:21,126,23,126,23,BetOutcome.WIN
Noita Roulette Daily Run,2025-12-11 10:21:26,0 days 04:59:36,506,38,506,38,BetOutcome.WIN
Noita Soler TI 13-37,2025-12-12 07:36:33,0 days 00:27:02,65,203,203,65,BetOutcome.LOSS
Noita Soler TI 18-27,2025-12-12 09:24:18,0 days 00:17:30,65,216,216,65,BetOutcome.LOSS
Noita Nightmare Mode,2025-12-12 09:47:35,0 days 02:28:29,253,39,253,39,BetOutcome.WIN
Noita Power Hour 7 wins Or More,2025-12-12 12:22:22,0 days 01:12:36,143,86,143,86,BetOutcome.WIN
Noita Rare Shift Daily Run,2025-12-13 07:12:25,0 days 06:11:04,429,33,429,33,BetOutcome.WIN
Noita Soler TI 15-22 2 Attempts,2025-12-14 10:33:14,0 days 00:13:18,54,233,233,54,BetOutcome.LOSS
Noita Random Start Location Run,2025-12-14 11:12:18,0 days 00:21:29,139,113,113,139,BetOutcome.LOSS
Noita Random Starting Location Run 2 Attempts,2025-12-14 12:00:35,0 days 00:14:35,143,97,97,143,BetOutcome.LOSS
Noita 11 Orb No Kolmi Kill Daily Run,2025-12-14 13:30:36,0 days 02:43:53,386,32,386,32,BetOutcome.WIN
Enter The Gungeon Rat Boss 2 Phases,2025-12-18 08:45:56,0 days 00:13:16,64,53,64,53,BetOutcome.WIN
Enter The Gungeon KILL Rat Boss,2025-12-18 11:34:03,0 days 00:06:59,50,59,59,50,BetOutcome.LOSS
Enter The Gungeon Kill Rat Boss,2025-12-18 13:36:08,0 days 00:05:14,52,84,84,52,BetOutcome.LOSS
Noita Multiple Wins In 1 Run,2025-12-19 09:08:27,0 days 05:34:02,528,32,528,32,BetOutcome.WIN
Noita Soler TI 18-27,2025-12-21 10:42:48,0 days 00:45:04,74,289,289,74,BetOutcome.LOSS
Noita Random Biome Start Journey Run,2025-12-21 13:03:23,0 days 00:09:19,146,80,80,146,BetOutcome.LOSS
Noita Random Biome Start Journey Run #2,2025-12-21 13:17:10,0 days 00:03:57,102,89,89,102,BetOutcome.LOSS
Noita Random Biome Start Journey Run #3 Two Attempts,2025-12-21 13:22:27,0 days 00:08:08,108,63,63,108,BetOutcome.LOSS
Noita Random Biome Start Journey Run #5 2 Attempts,2025-12-21 13:41:19,0 days 01:01:50,116,85,116,85,BetOutcome.WIN
Noita Random Biome Start Journey Run #6 Two Attempts,2025-12-21 14:46:59,0 days 00:28:58,140,104,104,140,BetOutcome.LOSS
Noita Soler TI 18-27,2025-12-21 15:38:31,0 days 00:09:07,81,187,187,81,BetOutcome.LOSS
