title,date,duration,yes_votes,no_votes,winners,losers,outcome
Noita Random Spawn Location Rematch Run,2025-03-27 10:10:07,0 days 01:47:36,98,166,166,98,BetOutcome.LOSS
Noita Soler TI 13-37,2025-03-27 12:22:33,0 days 00:17:07,84,163,163,84,BetOutcome.LOSS
Noita Random Start Run,2025-03-28 06:44:47,0 days 00:19:20,178,122,122,178,BetOutcome.LOSS
Noita Random Starting Point Run Attempt 2,2025-03-28 07:04:30,0 days 01:57:25,141,158,141,158,BetOutcome.WIN
Noita Random Start Run,2025-03-28 09:20:39,0 days 00:25:31,118,131,131,118,BetOutcome.LOSS
Noita Random Spawn Run Again,2025-03-28 09:47:45,0 days 02:34:36,111,126,111,126,BetOutcome.WIN
Noita Soler TI 12-26,2025-03-28 12:35:13,0 days 00:14:55,101,211,211,101,BetOutcome.LOSS
Noita 11 Orb Crazy Shift Run DMG = Shift,2025-03-29 07:17:25,0 days 03:27:40,161,174,161,174,BetOutcome.WIN
Noita Soler TI 18-25,2025-03-29 12:05:52,0 days 00:13:46,72,178,178,72,BetOutcome.LOSS
Noita Soler TI 18-25,2025-03-29 12:48:39,0 days 00:12:33,79,176,176,79,BetOutcome.LOSS
Noita Soler TI 13-37,2025-03-30 06:22:11,0 days 00:11:42,75,173,173,75,BetOutcome.LOSS
Noita Roulette Daily Run Ask The Gods,2025-03-30 07:40:24,0 days 04:08:46,369,57,369,57,BetOutcome.WIN
Noita Soler TI 13-36,2025-03-30 12:10:25,0 days 00:16:15,86,204,204,86,BetOutcome.LOSS
Noita Medical Malpractice Daily Run,2025-04-04 07:27:54,0 days 04:51:21,432,45,432,45,BetOutcome.WIN
Noita Soler TI 18-25,2025-04-04 12:26:07,0 days 00:28:35,64,145,145,64,BetOutcome.LOSS
Noita Worst RNG Mod Run,2025-04-05 06:51:09,0 days 05:11:42,145,124,124,145,BetOutcome.LOSS
Noita Soler TI 13-37,2025-04-06 06:27:17,0 days 00:14:49,64,171,64,171,BetOutcome.WIN
Noita Soler TI 18-25,2025-04-06 06:49:36,0 days 00:18:58,62,206,206,62,BetOutcome.LOSS
Noita Gold Everywhere Daily Run,2025-04-06 07:25:34,0 days 06:24:58,488,45,488,45,BetOutcome.WIN
Noita Soler TI 12-27,2025-04-06 13:58:15,0 days 00:17:18,59,194,194,59,BetOutcome.LOSS
Noita Soler TI 12-27,2025-04-11 07:49:31,0 days 00:16:59,61,211,211,61,BetOutcome.LOSS
Noita Soler TI 10-20 2 wins in 1 hour,2025-04-11 08:49:25,0 days 01:27:00,157,80,80,157,BetOutcome.LOSS
Noita Random Spawn Mod run,2025-04-11 10:58:42,0 days 00:06:26,125,98,98,125,BetOutcome.LOSS
Noita Random Spawn Run Attempt #2,2025-04-11 11:08:14,0 days 00:09:09,126,134,134,126,BetOutcome.LOSS
Noita Random Spawn Attempt #3,2025-04-11 11:27:43,0 days 00:12:03,107,121,121,107,BetOutcome.LOSS
